,budget,original_language,release_date,revenue,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_revenue,real_profit
155,22000000.0,en,2018-09-05,365550119.0,96.0,The Nun,"Horror, Mystery, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",R,5.233333333333333,22674963.262672886,376765250.86321366,354090287.60054076
157,68000000.0,en,2015-06-25,215863606.0,115.0,Ted 2,Comedy,2015,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",R,5.800000000000001,74252682.29705042,235712525.82078922,161459843.5237388
158,120000000.0,en,2017-10-13,221600160.0,109.0,Geostorm,"Action, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",PG-13,4.466666666666667,126702513.05483027,233977476.37793732,107274963.32310705
160,250000000.0,en,2009-07-07,933959197.0,153.0,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family, Fantasy, Mystery",2009,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",PG,7.699999999999999,301592499.1959428,1126700353.4810636,825107854.2851207
161,61000000.0,en,2015-09-09,312296056.0,131.0,Maze Runner: The Scorch Trials,"Action, Adventure, Sci-Fi, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG-13,5.766666666666667,66609023.825295225,341012056.3057333,274403032.4804381
162,250000000.0,en,2010-10-17,954305868.0,146.0,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy, Mystery",2010,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",PG-13,7.333333333333334,296725382.470558,1132667094.7047913,835941712.2342334
163,200000000.0,en,2017-04-19,863756051.0,137.0,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy, Sci-Fi",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",PG-13,7.3,211170855.09138379,912000519.4001346,700829664.3087507
164,94000000.0,en,2018-03-05,274650803.0,118.0,Tomb Raider,"Action, Adventure, Fantasy, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",PG-13,5.800000000000001,96883933.9405114,283077130.367664,186193196.42715257
165,90000000.0,en,1999-10-30,497366869.0,92.0,Toy Story 2,"Animation, Adventure, Comedy, Family, Fantasy",1999,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",G,8.1,139813865.54621845,772653161.6612184,632839296.115
166,140000000.0,en,2008-04-30,585174222.0,126.0,Iron Man,"Action, Adventure, Sci-Fi",2008,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",PG-13,7.8,168290920.23799017,703425059.4280711,535134139.190081
167,150000000.0,en,2017-10-04,259239658.0,164.0,Blade Runner 2049,"Action, Drama, Mystery, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",R,7.866666666666666,158378141.31853786,273719301.26728946,115341159.9487516
168,178000000.0,en,2018-07-13,791017452.0,147.0,Mission: Impossible - Fallout,"Action, Adventure, Thriller",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",PG-13,7.9,183461066.3979897,815285984.7378687,631824918.339879
169,90000000.0,en,2018-12-06,375540831.0,117.0,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Family, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",PG,8.5,92761213.34729815,387062479.3890294,294301266.04173124
170,35000000.0,en,2009-06-02,469310836.0,100.0,The Hangover,Comedy,2009,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",R,7.433333333333334,42222949.887432,566162511.7159091,523939561.82847714
171,26000000.0,en,2010-01-21,67918658.0,100.0,Legion,"Action, Fantasy, Horror",2010,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",R,4.733333333333333,30859439.77693803,80612759.08774808,49753319.31081005
173,115000000.0,en,2001-11-01,562816256.0,92.0,"Monsters, Inc.","Animation, Adventure, Comedy, Family, Fantasy",2001,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",G,7.933333333333334,168059090.9090909,822490333.3236364,654431242.4145455
174,75000000.0,en,2016-11-23,634151679.0,108.0,Sing,"Animation, Comedy, Family, Musical",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",PG,6.700000000000001,80876078.61437374,683836013.9232147,602959935.308841
176,150000000.0,en,2017-07-11,488533726.0,140.0,War for the Planet of the Apes,"Action, Adventure, Drama, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",PG-13,7.566666666666666,158378141.31853786,515820423.301999,357442281.98346114
177,1000000.0,ja,2018-12-14,125002821.0,101.0,Dragon Ball Super: Broly,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",PG,7.199999999999999,1030680.1483033128,128837926.08661246,127807245.93830915
178,68000000.0,en,2014-10-15,211817906.0,135.0,Fury,"Action, Drama, War",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",R,7.166666666666666,74340818.46444985,231569360.25685152,157228541.79240167
179,22000000.0,en,2017-01-19,205035819.0,100.0,A Dog's Purpose,"Adventure, Comedy, Drama, Family, Fantasy",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG,6.333333333333333,23228794.06005222,216487946.11296096,193259152.05290875
181,70000000.0,en,2018-10-11,100546153.0,141.0,First Man,"Biography, Drama, History",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",PG-13,7.6,72147610.3812319,103630923.88536757,31483313.50413567
183,48000000.0,en,2014-12-16,325771424.0,109.0,Taken 3,"Action, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",PG-13,4.933333333333334,52475871.857258715,356148739.5954312,303672867.7381725
184,200000000.0,en,2018-11-14,653355901.0,134.0,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,6.233333333333333,206136029.66066256,673400956.9375247,467264927.27686214
185,110000000.0,en,2015-05-27,473990832.0,114.0,San Andreas,"Action, Adventure, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG-13,5.533333333333333,120114633.12758155,517574862.65015584,397460229.5225743
186,10000000.0,en,2016-06-29,118587880.0,105.0,The Purge: Election Year,"Action, Horror, Sci-Fi, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",R,5.966666666666667,10783477.148583166,127878969.40789226,117095492.25930908
189,60000000.0,en,2009-02-05,124596398.0,100.0,Coraline,"Animation, Drama, Family, Fantasy, Thriller",2009,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",PG,7.800000000000001,72382199.80702628,150309356.2545295,77927156.44750322
