,original_language,release_date,runtime,title,Genre,Year,Ratings,Rated,general_rating,real_budget,real_profit
170,en,2009-06-02,100.0,The Hangover,Comedy,2009,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",R,7.433333333333334,40966103.74900366,508343507.62550044
171,en,2010-01-21,100.0,Legion,"Action, Fantasy, Horror",2010,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",R,4.733333333333333,29940850.056866124,48272317.45242506
173,en,2001-11-01,92.0,"Monsters, Inc.","Animation, Adventure, Comedy, Family, Fantasy",2001,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",G,7.933333333333334,163056493.5064935,634950855.9875324
174,en,2016-11-23,108.0,Sing,"Animation, Comedy, Family, Musical",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",PG,6.700000000000001,78468648.83107576,585011689.9034319
176,en,2017-07-11,140.0,War for the Planet of the Apes,"Action, Adventure, Drama, Sci-Fi, Thriller",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",PG-13,7.566666666666666,153663715.7310705,346802334.9162941
177,ja,2018-12-14,101.0,Dragon Ball Super: Broly,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",PG,7.199999999999999,1000000.0,124002821.0
178,en,2014-10-15,135.0,Fury,"Action, Drama, War",2014,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",R,7.166666666666666,72127923.0873209,152548336.21393454
179,en,2017-01-19,100.0,A Dog's Purpose,"Adventure, Comedy, Drama, Family, Fantasy",2017,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG,6.333333333333333,22537344.973890338,187506427.0627978
181,en,2018-10-11,141.0,First Man,"Biography, Drama, History",2018,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",PG-13,7.6,70000000.0,30546153.0
183,en,2014-12-16,109.0,Taken 3,"Action, Thriller",2014,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",PG-13,4.933333333333334,50913828.06163828,294633469.20775884
184,en,2018-11-14,134.0,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",2018,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",PG-13,6.233333333333333,200000000.0,453355901.0
185,en,2015-05-27,114.0,San Andreas,"Action, Adventure, Thriller",2015,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",PG-13,5.533333333333333,116539193.39119135,385629072.3915331
186,en,2016-06-29,105.0,The Purge: Election Year,"Action, Horror, Sci-Fi, Thriller",2016,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",R,5.966666666666667,10462486.510810101,113609922.97374658
189,en,2009-02-05,100.0,Coraline,"Animation, Drama, Family, Fantasy, Thriller",2009,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",PG,7.800000000000001,70227606.42686343,75607506.9222838
190,en,2016-03-17,119.0,Miracles from Heaven,"Biography, Drama, Family",2016,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",PG,6.300000000000001,16739978.417296162,60665011.13889594
191,en,2013-12-25,180.0,The Wolf of Wall Street,"Biography, Crime, Drama",2013,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",R,7.899999999999999,107791137.4202106,314750121.267015
