date,Mustang,Son of Saul,Fifty Shades of Grey,Racing Extinction,Youth,The Hunting Ground,Spectre,Prologue,Sanjay's Super Team,World of Tomorrow,Ave Maria,Day One,Stutterer,Ex Machina,Straight Outta Compton,Manchester by the Sea,Hacksaw Ridge,La La Land,Captain Fantastic,Fences,Moonlight,Hell or High Water,Lion,Nocturnal Animals,Elle,Loving,Jackie,Florence Foster Jenkins,Hidden Figures,Kubo and the Two Strings,Moana,My Life as a Zucchini,The Red Turtle,Zootopia,Arrival,Silence,Allied,Fantastic Beasts and Where to Find Them,Fire at Sea,O.J.: Made in America,13th,Extremis,4.1 Miles,Joe's Violin,The White Helmets,The Salesman,Toni Erdmann,Star Trek Beyond,Suicide Squad
2015-08-08,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-15,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,56.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,66.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,63.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-22,,,,,,,,,,,58.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23,,,,,,,,,,,59.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,70.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,79.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,59.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,86.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,58.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-29,,,,,,,,,,,71.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-30,,,,,,,,,,,57.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,64.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,78.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,69.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,45.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,52.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-05,,,,,,,,,,,64.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06,,,,,,,,,,,100.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,,,,,,55.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,68.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,86.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,43.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,84.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-12,,,,,,,,,,,87.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,86.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
